Recipe Title,Category,Ingredients,Instructions,Prep Time,Cook Time,Total Time,Servings
Khagina (Scrambled Eggs with Potatoes),breakfast,"['4 tablespoon neutral oil canola/sunflower/vegetable', '¼ onion (roughly 2 ounce or 57 grams)  roughly diced', '½ teaspoon turmeric powder', '1 teaspoon red chili powder preferably Kashmiri red chili powder', '1 small potato (roughly 4 ounce or 113 grams) thinly sliced', '1 roma tomato (roughly 2 ounce or 57 grams) roughly diced', '½ bird’s eye chili finely chopped', 'Salt to taste', '4 eggs lightly beaten', '½ cup cilantro finely chopped']","['In a nonstick skillet, heat oil. Once it begins to shimmer, add chopped onion and fry on medium heat until translucent, about 5-7 minutes.', 'Add turmeric powder and red chili powder, and fry on medium-low heat until fragrant.', 'Raise heat to medium-high. Add chopped potatoes, tomato and green chili, and begin to fry until the mixture is well-coated in the masala, and potatoes are done, roughly 10 minutes.', 'Lower heat to medium, and add eggs and cilantro. Moving quickly, break the eggs with your spatula as they are setting to form small, soft curds. Remove from heat if necessary to prevent eggs from overcooking.', 'Remove from heat and serve immediately with roti or any bread of your choice.']",10 minutes,20 minutes,30 minutes,4
Suji Ka Halwa (Semolina Pudding),breakfast,"['½ cup ghee or oil', '6 pods of cardamom cracked', '1 cup suji  semolina flour, available in specialty Indian/Pakistani grocery stores', '1 cup granulated sugar', '2 tablespoon blanched almonds']","['In a saucepan, bring 4 cups of water to a boil. Add sugar and stir until it has dissolved. Remove from heat.', 'In a heavy bottomed saucepan, heat ghee or oil. Add cracked cardamom. Fry on low heat till fragrant for about a minute.', 'Add suji (semolina flour) and roast it on low heat for 8-10 minutes till it begins to puff up. Keep an eye on the color since the time will vary depending on the type of saucepan you are using and whether you are using ghee or neutral oil. Ghee has a higher smoke point so it will take a longer time to roast.', 'Once the suji has turned an even golden brown, turn the heat off and add sugar syrup. Turn heat back up and stir well for 5 minutes till the mixture thickens and you get a nice silky texture.', 'Add sliced almonds and stir till well-mixed. Remove from heat.']",5 minutes,25 minutes,30 minutes,N/A
Modern Shahi Tukray (Bread Pudding),breakfast,"['4 slices white bread edges removed, each slice cut in four triangles', '1 cup oil canola/sunflower/vegetable', '3 cups whole milk', 'Pinch saffron threads toasted and ground', '6 cardamom pods removed and seeds ground', '3 eggs beaten', '½ cup sugar or to taste', '1 tablespoon pistachios crushed']","['Pre-heat oven to 350° F. Butter a square baking dish.', 'Heat oil in a non-stick frying pan. Fry bread in batches, about 1-2 minutes each side until golden brown. Add extra oil as needed. Remove from heat.', 'Arrange bread in layers in buttered baking dish.', 'Place milk in saucepan and bring to boil. Lower heat. Add ground saffron and cardamom, and let it simmer for 10 minutes. Occasionally stir and remove any milk residue with a wooden spoon. Remove from heat.', 'While the milk simmers on low heat, beat eggs and sugar with a whisk in a large bowl until well-mixed.', 'Pour milk into the egg and sugar mixture, and beat again until well-mixed.', 'Pour custard over bread, and bake uncovered for 25 minutes.', 'Top with crushed pistachios.']",30 minutes,25 minutes,55 minutes,8
Pakistani Style Masala Chai,breakfast,"['4 cups water', 'Pinch of fennel seeds ground', '4 cardamom pods removed and ground', '5 teaspoons loose black tea or teabags', '1 cup whole milk', '5 teaspoons sugar or to taste']","['Bring 4 cups water to boil. Reduce to simmer and add ground spices and tea. Let it simmer for 2 minutes.', 'Whisk in milk. Bring to boil.', 'Lower heat and let milk simmer for 8 minutes, whisking occasionally and skimming any residue from the top.', 'Remove from heat, stir in sugar or sweetener.', 'Strain and pour in mugs or teacups.']",N/A,15 minutes,15 minutes,4
Mariam's Easy Gujarati Style Aloo (Spiced Potatoes),breakfast,"['3 medium-sized potatoes', 'Salt to taste', '1 teaspoon red chili flakes', '2 tablespoon neutral oil canola/sunflower/vegetable', '1 teaspoon mustard seeds', '1 teaspoon cumin seeds', '4 kadi patta or curry leaves optional', '4 dried red chilies preferably round', '½ teaspoon turmeric powder', '½ teaspoon cumin powder', '5 tablespoon full-fat yogurt brought to room temperature']","['Boil potatoes until soft. Peel them and cut each potato in equal parts.', 'Gently toss chopped potatoes in a bowl with salt and red chili flakes. Set aside.', 'In a large wok, heat oil. Add mustard seeds, cumin seeds, kadi patta, and dried chilies (in that order). On medium-low heat, briefly fry until they change color, making sure they don’t burn, about 1 minute.', 'Add turmeric powder and cumin powder, and fry until aromatic.', 'Gently add the potatoes, coating them in the spices for a couple of minutes on medium heat.', 'Remove from heat, and gently mix in yogurt.']",15 minutes,5 minutes,20 minutes,4
Kashmiri Style Kheer (Rice Pudding),breakfast,"['½ cup basmati rice soaked overnight', '8 cups whole milk', '⅓ cup sugar', '¼ cup almonds slivered', '¼ cup desiccated coconut', '¼ teaspoon saffron crushed', '3 cardamom pods cracked']","['Break the soaked basmati rice with your hands.', 'Add milk and rice to a large pot. Bring to boil, about 3 minutes, and let it simmer on low heat for 40 minutes while stirring often.', 'Add sugar and keep stirring, about 5 minutes.', 'Add the remaining ingredients and let it simmer while stirring for another 8 – 10 minutes.', 'Place in serving bowl and top with slivered almonds for garnish. Let the kheer cool down to room temperature before putting it in the fridge. Serve cold.']",10 minutes,50 minutes,N/A,6
Rice Flour Pancakes,breakfast,"['1 cup rice flour', '¼ teaspoon baking soda', '½ teaspoon salt', '½ teaspoon black cumin seeds slightly toasted', '1 teaspoon sugar', '½ cup water', '½ cup buttermilk', '1 tablespoon canola/sunflower/vegetable oil']","['Mix rice flour, baking soda, salt, black cumin and sugar in bowl. Beat in water and buttermilk into the dry mixture with an electric mixer till well-blended.', 'Heat 1 tablespoon of oil in a non-stick frying pan on medium heat. Once hot, spoon a ladle of the batter on to the pan and cook each side for 2-3 minutes till light brown and cooked through. Remove from heat. Repeat until you have used up all the batter.']",5 minutes,30 minutes,N/A,4
Izzah's Lachha Paratha (Layered Flatbread),breakfast,"['2 cups atta durum wheat flour, plus more for dusting', '1 cup water  + 2 tablespoon water if needed', '¼ teaspoon salt or to taste', 'Spreadable butter as needed oil or ghee may also be used']","['Combine the atta and salt in the bowl of a stand mixer fitted with a dough attachment.', 'Turn the mixer on to medium speed to start mixing. Slowly add in 1 cup of water, letting it mix with the dough before adding more. If the dough seems dry, add the additional 2 tablespoon of water. If it seems too wet, dust it with a little more atta.', 'Continue to knead on medium speed until a smooth, dry, and flexible ball of dough forms. It should start wrapping itself around the dough attachment.', 'Remove the dough, place in an airtight container, and refrigerate until ready to use. (It is nice, but not necessary, to let the dough rest for 10-15 minutes to allow the gluten to develop. It makes it easier to handle.)', 'Once you are ready to cook the parathas, place spreadable butter, atta for dusting, and a rolling pin near your workstation. Dust your fingers with the dry atta, and take a medium-sized piece of dough (around 90-100 grams) and form into a round ball. Dust the atta on both sides, pressing to form a patty about 3 inches in diameter.', 'Meanwhile, heat a tawa, heavy-bottomed (preferably cast iron) or flat griddle over medium heat.', 'While the tawa is heating, roll the paratha out to 5-6 inches in diameter and spread about 2 teaspoon of butter onto the flattened dough. If your butter is cold, dotting pieces of it onto the dough is fine too.', 'Fold in half from the top to the bottom. Then spread 1 teaspoon of butter onto the folded dough. Starting from the top, roll down swiss-roll style until a long log is formed. Roll this log, especially from the middle, to make it thinner and as even as possible until it’s about 18 inches long. Then roll tightly into itself from one edge to another. It will look like a cinnamon roll from top. Toward the end, secure the loose end of the dough gently toward the center. Dust both sides with the atta again and roll this out once more until it is around 8-9 inches in diameter. Dust as needed while rolling and do not apply too much pressure.', 'Place the paratha on the hot tawa. As the bottom of the paratha begins to cook, add 1-2 teaspoon of butter to the top. Once the bottom is partly cooked (this will take about 10-15 seconds), use a spatula to flip over and add butter on the other side. Cook on both sides for 2-3 minutes, adding butter to dry spots as needed. Once the paratha is golden and crispy on both sides, remove from heat.']",N/A,N/A,N/A,4
Punjabi Style Chole (Curried Chickpeas),breakfast,"['4 tablespoon oil canola/sunflower/vegetable', '4 cloves garlic crushed', '30 oz canned chickpeas', '2 teaspoon cumin powder', '2 teaspoon coriander powder', '1 teaspoon red chili powder preferably Kashmiri', '3 roma tomatoes crushed', 'Roughly 1-inch tamarind optional', '½ teaspoon black pepper', 'Salt to taste', '1 medium yellow onion crushed', '1 green chili', '½ teaspoon garam masala powder', '2 tablespoon yogurt']","['Heat oil in a saucepan and brown crushed onion on low heat for about 10 minutes. Set aside.', 'Heat oil in a heavy, non-stick saucepan. On low heat, fry garlic for about 30 seconds.', 'When it changes color slightly, add coriander, cumin, and red chili powder.\xa0Stir for a few seconds. Add splash of water to deglaze the pan.', 'Add crushed tomatoes. Bring to a simmer, and stir till the sauce thickens, roughly 3 minutes.', 'Add chickpeas, salt and black pepper. Stir and coat with the spicy tomato mixture for 5 minutes.', 'Meanwhile, add tamarind to 5 cups of warm water. Dissolve tamarind into water with your fingers. Remove seed, and add tamarind-infused water to the saucepan.', ""Bring the masala to a simmer, cover with lid, and lower heat. Let chickpeas cook for 45 minutes to 1 hour, stirring occasionally to make sure the chickpeas don't stick to the pan. Add water as needed.\xa0The longer they cook, the more they will absorb the spices."", 'After 1 hour, remove cover. Check for salt and spice. Adjust as needed.', 'Add crushed onions and green chili. Stir for 5-7 minutes.', 'Add yogurt and garam masala powder. Stir and remove from heat.']",5 minutes,1 hour,1 hour,4
Pudina Chutney (Mint Chutney),condiments,"['2 cups mint leaves', '2 tablespoon lemon juice  (freshly squeezed)', '½ teaspoon salt (or to taste)', '½ teaspoon red chili flakes', '1 teaspoon brown sugar']","['Place all ingredients in a food processor, and pulse until you get the desired consistency.']",15 minutes,N/A,16 minutes,4
Lahsun Ki Chutney (Garlic Chutney),condiments,"['4 tablespoon tamarind paste  or 50 grams of tamarind pulp in ½ cup water', '5 dried red chilies', '1 teaspoon salt or to taste', '8 garlic cloves  peeled']","['Soak dry red chilies in ¼ cup hot water for 15 minutes.', 'If making fresh tamarind paste, soak about 50 grams of tamarind pulp in hot water. Once the water has cooled down, about 15 minutes, squeeze the tamarind pulp well separating the paste from the fibers. Using a strainer or sieve, drain the paste into a bowl. Set aside 4 tablespoon for the chutney and store the rest in an airtight container in the fridge.', 'Remove the dried red chilies from the water and place in food processor along with peeled garlic cloves, salt, tamarind paste. Pulse for 15-30 seconds till you get the consistency you want.']",20 minutes,N/A,20 minutes,6
Pakistani Pickled Red Onions,condiments,"['2 small red onions cut in half rings', '1 ½ cup white vinegar']",['Cut onions in half rings and add them to a glass jar with white vinegar. Store in the refrigerator for up to two weeks.'],5 minutes,N/A,5 minutes,8
Albar's Cucumber Raita,condiments,"['16 oz full-fat yogurt', '4 mini cucumbers peeled and roughly sliced', 'Handful of mint leaves', 'Handful of cilantro', '½ green chili', '½ teaspoon cumin powder', 'Juice of 1 lime', 'Salt and black pepper to taste']","['Whisk the yogurt to make it an even consistency.', 'Toss the sliced cucumbers, cilantro, mint leaves and half a green chili into a food processor and pulse till they are finely ground.', 'Fold the chopped greens, cumin powder, lime juice, salt and pepper into the yogurt. Mix well.']",10 minutes,N/A,N/A,4
Ami's Green Chutney,condiments,"['2 roma tomatoes', '4 cloves garlic', '1 tablespoon mint chopped', '4 tablespoon cilantro chopped', ""1 green chili (preferably bird's eye chili)"", '½ teaspoon red chili flakes', 'salt to taste']","['Roughly chop all fresh ingredients.', 'Place everything including spices, inside a food processor. Pulse until everything is finely ground, and chutney has an even consistency.']",10 minutes,N/A,10 minutes,2
Mommy's Dahi Baingan (Eggplant with Yogurt),condiments,"['½ cup oil canola/vegetable/sunflower', '14 oz eggplant  thinly sliced crosswise', '4 cups full-fat yogurt', '1 teaspoon salt or to taste', '¼ teaspoon red chili pepper']","[""Heat a non-stick frying pan. Add oil. Once it begins to shimmer, add slices of eggplant in batches. Make sure you don't overcrowd the pan."", ""Fry each side on medium-low heat until it's golden brown. The exact time will depend on your pan. I was using a non-stick pan, and each side was taking about 2 minutes."", 'Place fried eggplant on paper towel to absorb excess oil.', 'Meanwhile, get the yogurt ready. Whip the yogurt until it has an even consistency. Add salt to taste.', 'Gently fold the fried eggplant into the yogurt. Dust with red chili powder.']",5 minutes,30 minutes,35 minutes,4
Nimbu Soda (Pakistani Style Lime Soda),drinks,"['2 large lemons or 4 limes', '4 tablespoon sugar or to taste', '1 teaspoon black salt or 1 teaspoon salt', '1 cup ice', '3 cup soda water']","['Squeeze the juice of two lemons.', 'In a blender, add lemon juice, sugar, salt, ice and 3 cups water. Blend for 30 seconds till fizzy. Serve immediately.']",5 minutes,N/A,5 minutes,4
Classic Sweet Lassi (Yogurt Drink),drinks,"['1 ½ cup yogurt', '3 cups water', '6 ice cubes', '4 tablespoons sugar']","['Add ice cubs and yogurt to a blender, and blend on low speed for 20 – 30 seconds until frothy.', 'Add water and sugar to the yogurt and ice cube mixture and blend on low speed until well-mixed.']",N/A,5 minutes,5 minutes,4
Pakistani Style Masala Chai,drinks,"['4 cups water', 'Pinch of fennel seeds ground', '4 cardamom pods removed and ground', '5 teaspoons loose black tea or teabags', '1 cup whole milk', '5 teaspoons sugar or to taste']","['Bring 4 cups water to boil. Reduce to simmer and add ground spices and tea. Let it simmer for 2 minutes.', 'Whisk in milk. Bring to boil.', 'Lower heat and let milk simmer for 8 minutes, whisking occasionally and skimming any residue from the top.', 'Remove from heat, stir in sugar or sweetener.', 'Strain and pour in mugs or teacups.']",N/A,15 minutes,15 minutes,4
Modern Shahi Tukray (Bread Pudding),eid,"['4 slices white bread edges removed, each slice cut in four triangles', '1 cup oil canola/sunflower/vegetable', '3 cups whole milk', 'Pinch saffron threads toasted and ground', '6 cardamom pods removed and seeds ground', '3 eggs beaten', '½ cup sugar or to taste', '1 tablespoon pistachios crushed']","['Pre-heat oven to 350° F. Butter a square baking dish.', 'Heat oil in a non-stick frying pan. Fry bread in batches, about 1-2 minutes each side until golden brown. Add extra oil as needed. Remove from heat.', 'Arrange bread in layers in buttered baking dish.', 'Place milk in saucepan and bring to boil. Lower heat. Add ground saffron and cardamom, and let it simmer for 10 minutes. Occasionally stir and remove any milk residue with a wooden spoon. Remove from heat.', 'While the milk simmers on low heat, beat eggs and sugar with a whisk in a large bowl until well-mixed.', 'Pour milk into the egg and sugar mixture, and beat again until well-mixed.', 'Pour custard over bread, and bake uncovered for 25 minutes.', 'Top with crushed pistachios.']",30 minutes,25 minutes,55 minutes,8
Pakistani Style 30-minute Ground Beef Kebabs,eid,"['½ medium-sized yellow onion roughly chopped', '1 tablespoon cilantro roughly chopped', '2 Thai bird’s eye chilies roughly chopped', '1 pound (~ 450 grams) ground beef drained', '½ teaspoon garam masala powder', '1 teaspoon salt or to taste', '1 teaspoon red chili powder preferably Kashmiri', '½ teaspoon black pepper', '½ teaspoon cumin powder', 'Juice of 1 lime', '1 teaspoon crushed garlic', '1 teaspoon crushed ginger', '2 tablespoon olive oil']","['Put the roughly chopped onions, cilantro, and chilies in a food processor and grind until finely chopped.', 'Place the ground beef in a large bowl. Add salt and ground spices (garam masala powder, red chili powder, black pepper, cumin powder) and mix well.', 'Add the onion-cilantro mixture, crushed ginger and garlic, lime juice and olive oil to the ground beef. Mix well.', 'Take fistfuls of the mixture, and begin to shape into little patties.', 'Grill Instructions: If you are using the grill, make sure you heat it up well. The time will depend on whether you are using a charcoal or gas grill. Once hot, place kebabs on the grill and cook each side for 4-6 minutes.', 'Oven Instructions: If you want to prepare them in the oven, pre-heat it to 450°F. Line a sheet pan with aluminum foil and grease it. Place kebabs on it and then insert the sheet pan into the center rack of the oven. Set it to broil on high heat for 10 – 15 minutes depending on how well done you like them to be (I set them for 12 minutes).']",15 minutes,15 minutes,30 minutes,4
