Recipe Title,Category,Ingredients,Instructions,Prep Time,Cook Time,Total Time,Servings
Bhuna Gosht (Stewed Meat),meat and poultry,"['4 tablespoon oil canola/vegetable oil', '1 large onion thinly sliced in half rings', '4 tablespoon crushed tomatoes', '2.2 lbs beef stewing cubes cut in 1-2 inch pieces', '1 cup full-fat yogurt', '1 ½ salt to taste or to taste', '½ teaspoon red chili powder', '2 teaspoon garam masala powder', '2 teaspoon cumin powder', '4 garlic cloves crushed']","['Lightly whisk the yogurt and stir in the ground spices, salt and crushed garlic.', 'Coat the meat in the marinade, and leave in the fridge for 2 hours or more.', 'Heat oil in a stockpot on medium-low heat. Sauté the onion for about 7-10 minutes till it softens.', 'Raise heat to medium-high and add the marinated meat. Fry till brown, about 5 minutes.', 'Add the tomatoes, give it a quick stir and add 1 ½ cup water. Bring to boil and cover with tight fitting lid.', 'Dial heat to low, and let it cook for 2 hours while stirring occasionally. Add more water as necessary.', 'Once the meat is tender, it’s ready to serve. Garnish will finely chopped cilantro and green chilies.']",15,120,240,4
Black-Eyed Peas with Spinach and Dill,lentils,"['1 cup black-eyed peas soaked overnight', '4 tablespoon neutral oil canola/sunflower/vegetable', '½ teaspoon cumin seeds', '¼ teaspoon mustard seeds', '2 teaspoon crushed garlic', '10 kadi patta (curry leaves)', '1 bird’s eye chili finely chopped', '8 ounces (226 grams) spinach roughly diced', '1 cup dill finely chopped', '1 teaspoon red chili flakes', '1 teaspoon salt or to taste', 'Zest of ½ lemon', 'Juice of ½ lemon']","['Add black-eyed peas to stockpot. Add 4-5 cups water, and salt to taste. Bring to boil, and let peas simmer until soft. Drain water, and set peas aside in the same pot.', 'In a separate wok or large frying pan, heat oil. Add cumin seeds and mustard seeds. When they begin to pop, add the crushed garlic, kadi pata, and chopped chili.', 'Fry for roughly 30 seconds on medium low heat. Begin to add chopped spinach in batches, folding it in with the spices. Add chopped dill. Increase heat to medium, and continue to fry until the spinach begins to wilt.', 'Pour over the spinach and dill mixture into the pot of black-eyed peas. Add 1 cup water, red chili flakes, and salt. Bring to boil. Lower to simmer, cover with tight fitting lid, and let it cook for roughly 10 minutes.', 'Once done, top with lemon juice and lemon zest. Garnish with fresh dill and finely chopped chili, and serve with paratha or roti.']",60,30,60,4
Black-Eyed Peas with Spinach and Dill,mains,"['1 cup black-eyed peas soaked overnight', '4 tablespoon neutral oil canola/sunflower/vegetable', '½ teaspoon cumin seeds', '¼ teaspoon mustard seeds', '2 teaspoon crushed garlic', '10 kadi patta (curry leaves)', '1 bird’s eye chili finely chopped', '8 ounces (226 grams) spinach roughly diced', '1 cup dill finely chopped', '1 teaspoon red chili flakes', '1 teaspoon salt or to taste', 'Zest of ½ lemon', 'Juice of ½ lemon']","['Add black-eyed peas to stockpot. Add 4-5 cups water, and salt to taste. Bring to boil, and let peas simmer until soft. Drain water, and set peas aside in the same pot.', 'In a separate wok or large frying pan, heat oil. Add cumin seeds and mustard seeds. When they begin to pop, add the crushed garlic, kadi pata, and chopped chili.', 'Fry for roughly 30 seconds on medium low heat. Begin to add chopped spinach in batches, folding it in with the spices. Add chopped dill. Increase heat to medium, and continue to fry until the spinach begins to wilt.', 'Pour over the spinach and dill mixture into the pot of black-eyed peas. Add 1 cup water, red chili flakes, and salt. Bring to boil. Lower to simmer, cover with tight fitting lid, and let it cook for roughly 10 minutes.', 'Once done, top with lemon juice and lemon zest. Garnish with fresh dill and finely chopped chili, and serve with paratha or roti.']",60,30,60,4
Black-Eyed Peas with Spinach and Dill,vegetarian mains,"['1 cup black-eyed peas soaked overnight', '4 tablespoon neutral oil canola/sunflower/vegetable', '½ teaspoon cumin seeds', '¼ teaspoon mustard seeds', '2 teaspoon crushed garlic', '10 kadi patta (curry leaves)', '1 bird’s eye chili finely chopped', '8 ounces (226 grams) spinach roughly diced', '1 cup dill finely chopped', '1 teaspoon red chili flakes', '1 teaspoon salt or to taste', 'Zest of ½ lemon', 'Juice of ½ lemon']","['Add black-eyed peas to stockpot. Add 4-5 cups water, and salt to taste. Bring to boil, and let peas simmer until soft. Drain water, and set peas aside in the same pot.', 'In a separate wok or large frying pan, heat oil. Add cumin seeds and mustard seeds. When they begin to pop, add the crushed garlic, kadi pata, and chopped chili.', 'Fry for roughly 30 seconds on medium low heat. Begin to add chopped spinach in batches, folding it in with the spices. Add chopped dill. Increase heat to medium, and continue to fry until the spinach begins to wilt.', 'Pour over the spinach and dill mixture into the pot of black-eyed peas. Add 1 cup water, red chili flakes, and salt. Bring to boil. Lower to simmer, cover with tight fitting lid, and let it cook for roughly 10 minutes.', 'Once done, top with lemon juice and lemon zest. Garnish with fresh dill and finely chopped chili, and serve with paratha or roti.']",60,30,60,4
Bohra Style Keema Khichdi (Ground Meat and Lentil Rice),bread and rice,"['1 cup basmati rice washed and soaked overnight', '1 cup split moong daal washed and soaked overnight', '1 teaspoon salt  or to taste']",['Preheat oven to 350°F.'],10,1,60,6
Bohra Style Keema Khichdi (Ground Meat and Lentil Rice),lentils,"['1 cup basmati rice washed and soaked overnight', '1 cup split moong daal washed and soaked overnight', '1 teaspoon salt  or to taste']",['Preheat oven to 350°F.'],10,1,60,6
Bohra Style Keema Khichdi (Ground Meat and Lentil Rice),mains,"['1 cup basmati rice washed and soaked overnight', '1 cup split moong daal washed and soaked overnight', '1 teaspoon salt  or to taste']",['Preheat oven to 350°F.'],10,1,60,6
Bohra Style Keema Khichdi (Ground Meat and Lentil Rice),meat and poultry,"['1 cup basmati rice washed and soaked overnight', '1 cup split moong daal washed and soaked overnight', '1 teaspoon salt  or to taste']",['Preheat oven to 350°F.'],10,1,60,6
Boneless Chicken Achari,mains,"['¼ cup neutral oil canola/sunflower/vegetable', '¼ teaspoon fenugreek seeds', '¼ teaspoon fennel seeds', '¼ teaspoon nigella seeds', '1 pound (~450 grams) boneless chicken, diced', '1 teaspoon crushed ginger', '1 teaspoon crushed garlic', '1 medium-sized yellow onion thinly sliced in half rings', '1 teaspoon salt  or to taste', '¼ teaspoon turmeric powder', '1 teaspoon red chili powder (preferably Kashmiri red chili powder)', '½ teaspoon cumin powder', '½ teaspoon coriander powder', '4 roma tomatoes crushed', '1 tablespoon full-fat yogurt lightly whisked', '1 tablespoon mixed pickle (optional)']","['In a heavy-bottomed pot, heat oil. Add whole spices (fenugreek seed, fennel seeds and nigella seeds) and fry on medium heat until aromatic.', 'Add sliced onion and continue to fry on medium heat until evenly soft and brown, about 5-7 minutes.', 'Lower heat and add crushed ginger and garlic. Fry for 30 seconds to 1 minute.', 'Add ground spices and fry until they stop smelling raw. Deglaze the pan with a splash of water if needed.', 'Increase heat to high and add crushed tomatoes. Mix well and stir on high heat until the oil begins to separate from the tomato-onion base.', 'Add chicken and sear on high heat until no longer pink.', 'Add ¼ cup water and bring to simmer. Partially cover the pot and let the chicken cook for about 10 minutes.', 'Lower heat and add in whisked yogurt. Mix well.', 'Remove from heat and stir in mixed pickle if using.']",10,35,45,4
Boneless Chicken Achari,meat and poultry,"['¼ cup neutral oil canola/sunflower/vegetable', '¼ teaspoon fenugreek seeds', '¼ teaspoon fennel seeds', '¼ teaspoon nigella seeds', '1 pound (~450 grams) boneless chicken, diced', '1 teaspoon crushed ginger', '1 teaspoon crushed garlic', '1 medium-sized yellow onion thinly sliced in half rings', '1 teaspoon salt  or to taste', '¼ teaspoon turmeric powder', '1 teaspoon red chili powder (preferably Kashmiri red chili powder)', '½ teaspoon cumin powder', '½ teaspoon coriander powder', '4 roma tomatoes crushed', '1 tablespoon full-fat yogurt lightly whisked', '1 tablespoon mixed pickle (optional)']","['In a heavy-bottomed pot, heat oil. Add whole spices (fenugreek seed, fennel seeds and nigella seeds) and fry on medium heat until aromatic.', 'Add sliced onion and continue to fry on medium heat until evenly soft and brown, about 5-7 minutes.', 'Lower heat and add crushed ginger and garlic. Fry for 30 seconds to 1 minute.', 'Add ground spices and fry until they stop smelling raw. Deglaze the pan with a splash of water if needed.', 'Increase heat to high and add crushed tomatoes. Mix well and stir on high heat until the oil begins to separate from the tomato-onion base.', 'Add chicken and sear on high heat until no longer pink.', 'Add ¼ cup water and bring to simmer. Partially cover the pot and let the chicken cook for about 10 minutes.', 'Lower heat and add in whisked yogurt. Mix well.', 'Remove from heat and stir in mixed pickle if using.']",10,35,45,4
Borani Banjan (Eggplant with Yogurt),mains,"['2 cups full-fat yogurt preferably ¼ of it will be sour yogurt', '1 ½ teaspoon crushed garlic', '¾ cup neutral oil canola/sunflower/vegetable', '3 eggplant sliced crosswise', '3 red onion sliced in half rings', '4 roma tomatoes sliced crosswise', ""5 green chilies, preferably bird's eye chili  thinly diced"", '1 teaspoon salt (or to taste)', '1 teaspoon turmeric powder', '½ teaspoon red chili powder, preferably Kashmiri red chili powder', '1 tablespoon pomegranate seeds (optional)', '1 teaspoon dried mint (optional)', '½ teaspoon red chili flakes (optional)']","['Transfer yogurt to a flat serving dish and lightly whisk until it has an even consistency. Stir in 1 teaspoon of crushed garlic. Set aside.', 'In a non-stick skillet, heat ½ cup of oil. When hot, lower heat to medium and fry the sliced eggplant until medium brown, roughly 1 - 2 minutes each side. Lower heat and add oil as needed. Once fried, pat fried eggplant with paper towels to absorb excess oil. Set aside.', 'In a large non-stick saucepan, heat ¼ cup of oil. Add sliced onions and fry on low heat until translucent, about 7 – 10 minutes. Add remaining ½ teaspoon of crushed garlic and fry for a few seconds until fragrant.', 'Add tomatoes, green chilies, salt, turmeric and red chili powder. Stir on medium heat until the tomatoes soften. Cover the saucepan and let it simmer on medium-low heat for 5 minutes.', 'When the tomatoes release some water, add eggplant. Dial heat to very low, cover, and let it steam for 10 minutes.', 'When ready, remove the saucepan from the stove. Layer the eggplant on top of the yogurt and top with the tomato-onion curry. Garnish with dried mint, red chili flakes and pomegranate seeds.']",10,50,60,6
Borani Banjan (Eggplant with Yogurt),sides,"['2 cups full-fat yogurt preferably ¼ of it will be sour yogurt', '1 ½ teaspoon crushed garlic', '¾ cup neutral oil canola/sunflower/vegetable', '3 eggplant sliced crosswise', '3 red onion sliced in half rings', '4 roma tomatoes sliced crosswise', ""5 green chilies, preferably bird's eye chili  thinly diced"", '1 teaspoon salt (or to taste)', '1 teaspoon turmeric powder', '½ teaspoon red chili powder, preferably Kashmiri red chili powder', '1 tablespoon pomegranate seeds (optional)', '1 teaspoon dried mint (optional)', '½ teaspoon red chili flakes (optional)']","['Transfer yogurt to a flat serving dish and lightly whisk until it has an even consistency. Stir in 1 teaspoon of crushed garlic. Set aside.', 'In a non-stick skillet, heat ½ cup of oil. When hot, lower heat to medium and fry the sliced eggplant until medium brown, roughly 1 - 2 minutes each side. Lower heat and add oil as needed. Once fried, pat fried eggplant with paper towels to absorb excess oil. Set aside.', 'In a large non-stick saucepan, heat ¼ cup of oil. Add sliced onions and fry on low heat until translucent, about 7 – 10 minutes. Add remaining ½ teaspoon of crushed garlic and fry for a few seconds until fragrant.', 'Add tomatoes, green chilies, salt, turmeric and red chili powder. Stir on medium heat until the tomatoes soften. Cover the saucepan and let it simmer on medium-low heat for 5 minutes.', 'When the tomatoes release some water, add eggplant. Dial heat to very low, cover, and let it steam for 10 minutes.', 'When ready, remove the saucepan from the stove. Layer the eggplant on top of the yogurt and top with the tomato-onion curry. Garnish with dried mint, red chili flakes and pomegranate seeds.']",10,50,60,6
Chana Chaat with Tamarind Chutney,lentils,"['8 ounce or 226 grams tamarind with seeds', '½ teaspoon salt', '1 teaspoon cumin powder', '2 teaspoon cayenne pepper', '1 cup sugar']","['To prepare the chutney, place tamarind in a large heatproof bowl and pour roughly 3 to 3 ½ cups of hot water. Let the water come to room temperature, and squeeze the tamarind pulp with your hands, removing the seeds as you go along. Once you have removed all the seeds, strain the tamarind juice.', 'Place the tamarind juice, salt, cumin powder, cayenne pepper and 1 cup sugar in a saucepan. Bring to simmer, and let it cook for 45 minutes to 1 hour until you get the desired consistency. Remove from heat and place in airtight jar.', 'To get started on the chaat, drain canned chickpeas and place in large bowl. Add diced potato, onion, and tomato. Add salt, chaat masala and 4 tablespoon of tamarind chutney. Mix well. Add finely diced cilantro and mix again. Dust with remaining chaat masala.']",10,5,15,4
Chana Chaat with Tamarind Chutney,snacks,"['8 ounce or 226 grams tamarind with seeds', '½ teaspoon salt', '1 teaspoon cumin powder', '2 teaspoon cayenne pepper', '1 cup sugar']","['To prepare the chutney, place tamarind in a large heatproof bowl and pour roughly 3 to 3 ½ cups of hot water. Let the water come to room temperature, and squeeze the tamarind pulp with your hands, removing the seeds as you go along. Once you have removed all the seeds, strain the tamarind juice.', 'Place the tamarind juice, salt, cumin powder, cayenne pepper and 1 cup sugar in a saucepan. Bring to simmer, and let it cook for 45 minutes to 1 hour until you get the desired consistency. Remove from heat and place in airtight jar.', 'To get started on the chaat, drain canned chickpeas and place in large bowl. Add diced potato, onion, and tomato. Add salt, chaat masala and 4 tablespoon of tamarind chutney. Mix well. Add finely diced cilantro and mix again. Dust with remaining chaat masala.']",10,5,15,4
Dahi Baingan (Eggplant with Yogurt),condiments,"['½ cup oil canola/vegetable/sunflower', '14 oz eggplant  thinly sliced crosswise', '4 cups full-fat yogurt', '1 teaspoon salt or to taste', '¼ teaspoon red chili pepper']","[""Heat a non-stick frying pan. Add oil. Once it begins to shimmer, add slices of eggplant in batches. Make sure you don't overcrowd the pan."", ""Fry each side on medium-low heat until it's golden brown. The exact time will depend on your pan. I was using a non-stick pan, and each side was taking about 2 minutes."", 'Place fried eggplant on paper towel to absorb excess oil.', 'Meanwhile, get the yogurt ready. Whip the yogurt until it has an even consistency. Add salt to taste.', 'Gently fold the fried eggplant into the yogurt. Dust with red chili powder.']",5,30,35,4
Dahi Baingan (Eggplant with Yogurt),sides,"['½ cup oil canola/vegetable/sunflower', '14 oz eggplant  thinly sliced crosswise', '4 cups full-fat yogurt', '1 teaspoon salt or to taste', '¼ teaspoon red chili pepper']","[""Heat a non-stick frying pan. Add oil. Once it begins to shimmer, add slices of eggplant in batches. Make sure you don't overcrowd the pan."", ""Fry each side on medium-low heat until it's golden brown. The exact time will depend on your pan. I was using a non-stick pan, and each side was taking about 2 minutes."", 'Place fried eggplant on paper towel to absorb excess oil.', 'Meanwhile, get the yogurt ready. Whip the yogurt until it has an even consistency. Add salt to taste.', 'Gently fold the fried eggplant into the yogurt. Dust with red chili powder.']",5,30,35,4
Easy Boneless Chicken Karahi,mains,"['3 tablespoon neutral oil canola/sunflower/vegetable', '1 tablespoon cumin seeds', '1 teaspoon crushed garlic', '1 teaspoon crushed ginger finely chopped', ""2 bird's eye chili  roughly chopped"", '1 ½ pound (~ 700 grams) boneless chicken preferably chicken thighs, diced', '1 ½ teaspoon salt or to taste', '6 roma tomatoes de-seeded, roughly chopped', '1 tablespoon red chili flakes', '1 teaspoon black pepper', '1 teaspoon garam masala powder', '4 tablespoon finely chopped cilantro', '1 tablespoon full-fat yogurt lightly whisked (optional)']","['Heat oil in a large karahi or wok. When the oil begins to shimmer, add cumin seeds. Fry until fragrant, roughly 30 seconds or less.', 'Lower heat and add crushed garlic, ginger and diced green chilies. Fry until fragrant, roughly 30 seconds or less.', 'Turn the heat up to high, and add chicken and salt. Sear until no longer pink, about 5-10 minutes.', 'Add chopped tomatoes and stir continuously on high heat until jammy, about 10 minutes.', 'Add red chili flakes, black pepper and garam masala powder, and mix well. Check for salt.', 'Let the chicken simmer on high heat until the gravy reduces, about 5 minutes.', 'Lower heat and add cilantro and yogurt. Stir until well-mixed.', 'Remove from heat. Garnish with finely chopped cilantro, green chilies, and ginger.']",30,45,60,4
